序号,电脑时间戳,接收时间戳,发送时间戳,时延（毫秒）,纬度,经度,海拔,速度（km/h）,锁星数,地面航向(度）,ID,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Type,Label
86,1699941108,1699941105,1699941105,-238.475,116.491623,39.729154,22.7,8.778,47,57.45,696E636830303000,81,75,108,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,SPAT,normal
88,1699941108,1699941105,1699941105,-234.024,116.491625,39.729155,22.7,8.778,47,57.45,696E636830303000,82,76,108,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,SPAT,normal
89,1699941108,1699941105,1699941105,-239.752,116.491627,39.729157,22.7,8.778,47,57.45,696E636830303000,83,77,108,3619,8000001,7,8,-120,-90,2,1,5,-120,55140,47,4264,SPAT,normal
90,1699941108,1699941105,1699941105,-239.476,116.491629,39.729157,22.7,8.778,47,57.45,,84,78,108,3619,8000001,7,8,-119,-90,4,1,5,-119,55140,47,4264,SPAT,normal
91,1699941108,1699941105,1699941106,-232.661,116.491633,39.72916,22.7,8.778,47,57.45,696E636830303000,85,79,108,3619,8000001,7,8,-124,-93,-1,1,5,-124,55140,47,4264,SPAT,normal
92,1699941109,1699941105,1699941106,-237.036,116.491636,39.729161,22.7,8.778,47,57.45,696E636830303000,86,80,108,3619,8000001,7,8,-121,-91,2,1,5,-121,55140,47,4264,SPAT,normal
93,1699941109,1699941106,1699941106,-238.99,116.491637,39.729162,22.7,8.778,47,57.45,696E636830303000,87,81,108,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,SPAT,normal
95,1699941109,1699941106,1699941106,-235.281,116.49164,39.729163,22.7,8.778,47,57.45,696E636830303000,88,82,108,3619,8000001,7,8,-127,-94,-4,1,5,-127,55140,47,4264,SPAT,normal
96,1699941109,1699941106,1699941106,-242.573,116.491641,39.729164,22.7,8.834,46,59.21,,89,83,108,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,SPAT,normal
98,1699941109,1699941106,1699941106,-222.734,116.491651,39.729169,22.7,8.797,47,57.67,696E636830303000,92,84,110,3619,8000001,7,8,-118,-90,4,0,5,-118,55140,47,4264,SPAT,normal
99,1699941109,1699941106,1699941106,-242.415,116.491651,39.729169,22.7,8.834,46,59.21,,93,85,110,3619,8000001,7,8,-116,-88,6,1,5,-116,55140,47,4264,SPAT,normal
101,1699941109,1699941106,1699941107,-215.403,116.491658,39.729172,22.7,8.797,47,57.67,696E636830303000,95,86,111,3619,8000001,7,8,-121,-92,1,1,5,-121,55140,47,4264,SPAT,normal
102,1699941110,1699941107,1699941107,-226.575,116.491663,39.729175,22.7,8.797,47,57.67,696E636830303000,97,87,112,3619,8000001,7,8,-120,-91,2,1,5,-120,55140,47,4264,SPAT,normal
103,1699941110,1699941107,1699941107,-231.59,116.491665,39.729176,22.7,8.834,46,59.21,696E636830303000,98,88,112,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,SPAT,normal
